TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
2,-0.43172690763052207,1.0,-0.5,-1.2032091062487367,28,4,12,0.6366452150673994,-0.22049625245154422
10,-0.22590361445783133,-0.5,0.0,0.0,28,4,0,1.4683774450144078,1.154050245212736
10,-0.035140562248995984,1.5,0.5,0.34118010124166204,28,4,16,-1.1822253578018185,-1.8325191134018324
0,-0.28714859437751006,-0.5,0.0,-1.1016045531243683,25,3,1,-1.1082232616380594,-0.9575592779200985
0,0.4718875502008032,0.5,0.0,-0.19224380266127172,25,0,20,1.902212808864558,0.18964225258040968
7,-0.5823293172690763,0.0,-0.5,0.0,28,4,0,1.7655995210809805,0.8425355387023156
7,-0.4267068273092369,2.0,0.5,0.20401395452376478,28,4,0,2.083893515797796,0.7529567815234648
7,54.3925702811245,2.5,3.0,9.973291737431781,28,4,12,0.7757919696035928,-0.4257460694002592
0,-0.5471887550200804,-1.0,-0.5,-1.2032091062487367,25,3,1,-1.02719453098691,-0.7923314438364834
7,0.07429718875502007,0.0,0.0,-0.756149072501516,28,4,16,-2.262287519757311,-2.868068503179903
5,1.4608433734939759,-0.5,0.0,-0.7967908937512633,28,4,12,0.9630917027519152,-0.2602332898008915
1,-0.17670682730923695,0.5,0.5,0.0,28,4,9,-0.3751057402467056,-0.5594992967025979
11,-0.08634538152610442,1.5,1.0,0.0,28,4,9,-1.4421480960270225,0.1977058149238115
7,0.6726907630522089,0.5,0.18693042898421863,0.82888195623863,28,4,16,-2.1611963788198167,-2.2410003832282124
7,3.137550200803213,1.0,0.0,1.3653539967352948,28,4,9,-0.5266004360696003,-0.3288378803394907
2,-0.5020080321285141,-0.5,-0.5,-1.224546062404854,25,5,11,0.861488393164217,-0.07048925801094076
11,-0.527109437751004,0.0,-0.5,0.0,25,5,11,0.7623352801477901,-0.38823319010599044
12,1.8775100401606426,1.5,1.5,2.5764802699777656,28,4,12,1.2466072788184086,-0.050955649256921184
11,3.9909638554216866,1.5,0.18693042898421863,1.8022535751700788,28,4,9,-1.0997217183207968,-0.7273559510495673
7,-0.13152610441767068,0.0,0.5,-0.8374327150010107,28,4,16,-1.9610068778618113,-2.116966964080615
7,-0.1366586345381526,0.5,0.0,0.6724109444271028,28,4,0,1.806747538266567,0.7561386731181665
7,-0.4267068273092369,0.5,0.0,-0.207484485629927,28,4,9,-0.5574548900061276,0.6383028189422276
10,-0.48092369477911645,1.0,0.0,0.0,28,4,14,-0.34720224465735255,1.0239933944643973
7,-0.4267068273092369,0.5,0.0,-0.207484485629927,28,4,9,-0.5574548900061276,0.6383028189422276
10,-0.48092369477911645,1.0,0.0,0.0,28,4,14,-0.34720224465735255,1.0239933944643973
7,-0.5622489959839357,0.0,-0.5,0.0,28,4,14,-0.4431237902220394,1.922829289635801
7,-0.5080321285140562,0.0,0.0,-0.9756149072501517,28,4,16,-1.7538934042839907,-1.5859126208760113
12,24.07128514056225,1.5,3.0,0.0,28,4,12,0.6696053779752756,-0.2171224183912522
7,0.2761044176706827,3.0,1.0,1.1093105228618867,28,4,12,1.3287230845777307,-0.0081297233633156
10,-0.5180722891566265,1.5,0.0,0.0,28,4,14,-1.3249949355737418,1.764449052482151
7,-0.1757028112449799,0.0,0.0,-0.672833338939534,28,4,14,0.10286624182099376,2.1002128202776866
7,-0.02610441767068273,0.5,0.0,-0.2125647132861454,28,4,16,-2.0012891132980735,-2.4910648083172218
0,-0.5682730923694779,0.0,0.0,-1.112781053968049,28,4,0,1.2594331681326534,1.3296973891169024
7,0.3714859437751004,0.5,1.0,0.5281324789904998,28,4,16,-2.2805214081145824,-2.600842047120509
2,16.741967871485944,1.0,2.0,3.3679797388165946,28,4,12,0.0012355557353779566,-0.6643097768600549
2,-0.6385542168674698,-0.5,0.0,-1.2377546543110218,25,8,19,-1.1779603275504726,-1.174903448989752
2,-0.06626506024096386,0.0,0.0,-1.0,25,7,13,0.8435294104744419,1.5226391428078996
7,-0.5522088353413654,0.5,-0.5,0.0,28,4,9,-0.8845025199592617,-0.07139752184306083
2,-0.3273092369477912,-1.0,-0.5,-1.5791459528088996,25,5,11,0.6388387569698132,-0.19208975693729027
7,0.42570281124497994,0.0,0.18693042898421863,0.0,28,4,0,1.9170873727793756,0.27575120446610296
0,-0.7581325301204819,-0.5,-0.5,-1.5080227656218417,28,4,0,1.235040708412176,1.2906093943316275
10,0.32630522088353414,4.5,2.0,3.377124148597788,28,4,14,0.46565046785455944,0.27666045769231684
6,0.9286144578313253,1.0,1.0,1.5807556493589556,28,4,12,1.2523369517129175,-0.08514218541035407
0,0.5763052208835341,0.0,1.0,-0.1942758937237591,25,7,13,0.48436800767652505,2.1850889870493644
2,-0.17670682730923695,0.0,0.0,-1.0182888195623863,25,7,13,0.1832710164551662,1.3423744963936903
7,-0.3273092369477912,1.0,0.0,-0.43101450250353734,28,4,0,1.7356621798275653,0.5313710777217767
10,0.22590361445783133,1.0,1.0,0.9629999663627963,28,4,0,1.1797880913181016,1.206031035200047
12,4.1917670682730925,3.5,3.5,4.308837900748245,28,4,12,0.7874475136283206,-0.34080460261459306
11,-0.7379518072289156,-1.0,-0.5,-1.548664586871589,28,4,16,-1.5944081931065262,-1.497384600287227
7,55.39658634538153,4.0,4.0,22.16583811235598,28,4,12,0.5403769005280107,-0.3422322983767617
12,-0.1757028112449799,0.0,0.18693042898421863,-0.5549720573152667,28,4,0,1.4968444401876715,1.1934528673385463
2,-0.32630522088353414,0.5,0.5,-0.3964689544412521,25,5,11,0.8708500147937345,-0.3338016708027585
7,-0.47690763052208834,-0.5,-0.5,-1.7213923271830152,28,4,16,-1.6095074724424823,-1.460155677114617
7,0.2751004016064257,0.5,0.0,0.0,28,4,14,-1.764254268090697,0.26575436594864105
0,-0.7379518072289156,-1.0,-0.5,-1.7620341484327624,25,0,20,1.4617158305004385,0.17964244588052575
7,0.014056224899598393,0.5,0.0,0.0,28,4,14,-0.6289315042291191,0.9538156672232608
7,-0.16666666666666666,2.5,0.5,0.0,28,4,14,-0.2930891742925875,1.4353359921799587
7,-0.16666666666666666,2.5,0.5,0.0,28,4,14,-0.2930891742925875,1.4353359921799587
7,-0.4267078313253012,0.0,-0.5,0.0,28,4,14,-1.3599843813961219,1.8191358354766336
2,-0.5773092369477911,0.0,-0.5,0.0,25,3,1,-1.3063036315623444,0.0702847101979055
5,0.9186746987951807,-0.5,0.0,-1.0690910961245705,28,4,12,0.9630917027519152,-0.2602332898008915
7,-0.1757028112449799,0.5,0.0,0.06075153461840542,28,4,14,-0.19798322023094841,2.0041337435166113
7,0.3413654618473896,0.0,1.0,1.3369047218604717,28,4,16,-1.9904753965870428,-2.710186920679066
7,-0.09548192771084338,0.0,0.0,-1.050802276562184,28,4,16,-2.0990232111680553,-2.538680391303459
7,1.0592369477911647,0.0,1.0,0.9812887859251825,28,4,9,-1.5251091511621702,-0.6382085697213533
0,-0.37751004016064255,-0.5,0.0,-0.6454001095959545,25,7,13,0.49702051250350004,2.232516585146527
7,0.3514056224899598,0.0,0.0,0.06684780780586752,28,4,14,-1.602746618123228,0.8293360313129163
12,1.9327309236947792,0.0,0.0,0.0,28,4,12,0.22176807608421273,-0.5829192456878795
7,0.1706827309236948,0.0,0.0,0.0,28,4,14,-0.6449570217475472,0.9170507699082113
2,1.179718875502008,0.0,0.0,-0.18716357500505332,26,4,10,-0.06368096515378974,-0.7380295351674158
12,14.231927710843374,2.5,2.0,0.0,28,4,9,-0.22049354571370444,-0.5043227636025687
7,1.9829317269076305,0.5,2.0,6.247452774361193,28,4,16,-1.4613093632541148,-1.6418638495974802
7,1.7821285140562249,1.0,1.0,0.8532670489884784,28,4,14,0.72792530353318,1.6586036660411128
12,2.6857429718875503,1.5,2.0,3.87701854996968,28,4,12,1.239779123941507,-0.044136744757504516
0,-0.2761044176706827,-1.0,-0.5,0.0,25,5,11,0.8495990082190719,-0.2810659730771497
11,-0.05622489959839357,0.0,1.0,0.0,28,4,16,-0.9699365854140398,-2.0803415713412305
7,-0.15060240963855423,0.0,0.0,0.21925463749242002,28,4,9,-1.186555407235951,0.306229491335707
7,0.05421686746987952,0.5,0.0,-0.96139026981274,28,4,16,-2.1319719672017925,-2.5400417976574046
7,0.09426506024096386,0.0,0.0,0.0,28,4,14,0.5301449343994484,0.6007028729625001
12,1.5813253012048192,0.5,0.0,-0.2968964923793711,28,4,9,-0.5330806812842888,-0.41172041789358876
7,0.9086345381526104,1.5,0.18693042898421863,0.8532670489884784,28,4,14,0.5794112239303184,1.9728589943542383
10,-0.40160642570281124,1.0,0.0,0.0,28,4,0,1.1608720718855658,0.5293368833441009
7,1.6817269076305221,1.0,0.18693042898421863,-0.7459886171890792,28,4,14,0.613007890416822,1.157536870206332
7,0.17369477911646586,0.5,1.0,-0.18716357500505332,28,4,16,-2.2696951438419015,-2.904305064017497
7,0.3714859437751004,0.5,1.0,0.5118757504906009,28,4,16,-0.9648388533484378,-1.5724064012993895
7,0.8273092369477911,0.0,0.0,-0.1343292073803818,28,4,9,-1.1156936235305768,-0.7187264552508952
7,0.13052208835341367,0.5,1.0,-0.08555902188068498,28,4,16,-1.8598119343693924,-2.398921541495052
10,0.12449799196787148,1.5,0.5,0.0,28,4,14,-0.42016175252214594,1.400064090641207
7,0.055220883534136546,0.0,0.0,-0.4482872765346799,28,4,14,0.6000485406747129,1.4888770567458842
12,39.32730923694779,0.5,0.18693042898421863,8.532539174128239,28,4,12,0.02504170212358568,-0.6779179040343862
12,0.4267068273092369,2.5,0.18693042898421863,0.0,28,4,12,0.5224087923387947,-0.23501462224618339
4,0.07530020080321286,0.0,0.0,-0.40662940975368894,28,4,16,-1.5441312545244907,-1.6868060895833292
2,-0.6295180722891566,-1.0,-0.5,-1.4572204890596574,25,7,13,-0.016735974516047327,1.061335108570452
7,-0.27710843373493976,1.0,0.5,-1.715296053995553,28,4,0,1.753727246447125,1.039222149260722
7,0.2649477911646586,0.0,1.0,-0.878074536250758,28,4,9,-1.1992752126204922,-0.3429624712614486
7,0.06325301204819277,0.5,0.0,0.5098436594281135,28,4,0,1.1275742655022667,1.3383090758207608
5,-0.7630522088353414,0.0,-0.5,-1.985564165306373,25,5,11,-0.02460215494219391,-0.5612297470754732
7,0.6275090361445783,0.0,0.0,0.0,28,4,14,0.6336543326605764,0.39727552004272887
12,14.13152610441767,1.0,1.5,0.0,28,4,12,0.7025758070700229,-0.36533465183908564
1,0.8734939759036144,1.0,0.0,0.06684780780586752,28,4,9,-0.31118047672271576,0.1524924809400858
7,1.680722891566265,1.0,0.18693042898421863,1.9465320406066817,28,4,14,-0.03943337273523454,0.9983750116721638
12,1.1495983935742973,0.5,1.0,0.3289875548667378,28,4,9,-0.2018387436996656,-0.41914878919107534
0,1.0742971887550201,-0.5,0.0,0.0,25,3,1,-0.4591390415535964,-0.3159510215022987
7,-0.13654618473895583,0.0,0.18693042898421863,-0.9512298145003032,28,4,16,-1.1458283037071322,-2.1611265932919927
7,-0.17570381526104417,0.0,0.0,-0.756149072501516,28,4,16,-1.5273118185640249,-1.453573237817684
7,-0.1566265060240964,0.0,0.0,-1.3413912984978775,28,4,16,-1.3103621973912714,-1.5215594570109472
7,-0.025100401606425703,0.0,0.0,-1.3810170742163812,28,4,9,-1.0489040939031287,0.17321534146546205
0,1.5562248995983936,-1.0,0.0,0.0,25,5,11,0.1253799893660401,-0.5083030962783679
5,1.5813253012048192,1.5,2.0,4.5760578754653345,28,4,9,-0.4605010223292652,-0.08911757111540296
7,-0.4367469879518072,-0.5,-0.5,-1.6238519561836215,28,4,16,-1.5983777853169578,-1.4995810553059914
2,1.430722891566265,-1.0,-0.5,0.0,25,5,11,0.26328111324313946,-0.6239652515009659
7,0.6275100401606426,0.5,0.18693042898421863,0.524068296865525,28,4,16,-2.1321476330640037,-2.3126325198735973
2,-0.10040160642570281,-0.5,0.0,-1.4145465767474228,25,3,1,-0.2784495919856175,0.3497885582964216
0,-0.5582329317269076,-1.0,-0.5,0.0,25,0,20,2.082641041014121,0.32505667266483806
0,-0.13052208835341367,-0.5,0.0,0.0,25,5,11,0.5811176923058288,-0.25992064124868414
7,0.47690763052208834,0.0,0.0,0.0,28,4,0,1.1029023373646536,0.8675029001421484
0,-0.3674698795180723,0.0,0.0,-0.9491977234378158,28,4,9,-1.455276267506762,-0.4245924358183892
7,-0.13554317269076305,0.0,0.0,-1.1950807419987872,28,4,16,-1.0541444118957926,-1.969143562534853
0,-0.40160642570281124,0.0,0.0,-0.7917106660950449,28,4,14,0.27328836395056316,0.8259107487567929
7,9.211847389558233,1.0,1.0,4.689854974964627,28,4,12,0.579034797082758,-0.23678069080854533
0,0.7028112449799196,-0.5,0.0,0.0,25,5,11,0.8029973644939029,-0.4062193864053182
10,0.6767068273092369,3.0,2.0,1.3562095869541018,28,4,9,-1.4910276925235422,-0.31946633892630283
0,-0.13052208835341367,-0.5,0.0,0.0,25,5,11,0.5811176923058288,-0.25992064124868414
7,0.47690763052208834,0.0,0.0,0.0,28,4,0,1.1029023373646536,0.8675029001421484
0,-0.5582329317269076,-1.0,-0.5,0.0,25,0,20,2.082641041014121,0.32505667266483806
0,-0.40160642570281124,0.0,0.0,-0.7917106660950449,28,4,14,0.27328836395056316,0.8259107487567929
10,0.6767068273092369,3.0,2.0,1.3562095869541018,28,4,9,-1.4910276925235422,-0.31946633892630283
7,-0.3072289156626506,0.0,0.0,-0.7155072512517686,28,4,16,-1.372124717572974,-2.4013989844530528
0,-0.46887550200803213,-0.5,-0.5,0.0,25,7,13,0.8131996727496065,1.601234635498976
0,0.15060240963855423,0.0,-0.5,0.0,25,5,11,0.3567844014842738,-0.5936274586011208
12,28.48895582329317,4.5,4.0,9.605483255121568,28,4,12,0.3792205822849641,-0.37673741944738665
0,-0.32831325301204817,-0.5,-0.5,-1.2286102445298288,25,3,1,-0.9024056089656907,-0.8860983064630683
0,-0.44176706827309237,-1.0,0.0,-1.304813659373105,25,7,13,0.7950912600081077,1.6341943229032372
10,0.1746987951807229,1.5,0.0,0.9751925127377205,28,4,0,1.4929273195984576,0.8057973550293459
0,-0.42771084337349397,-1.0,-0.5,0.0,25,7,13,0.44363634139806685,0.5909207329761925
4,-0.22690763052208834,0.5,1.0,0.6256728499898934,28,4,16,-2.0018138295098464,-1.9865855920503808
7,0.004907630522088353,0.5,0.18693042898421863,-0.39037268125379,7,10,11,-2.200945913232376,-2.784490421536511
12,-0.12550401606425704,0.0,0.0,-0.6464161551271982,28,4,16,-1.3564220145935395,-2.188810831074732
0,0.2640562248995984,1.0,0.0,0.0,25,7,13,0.049884733373689406,0.9523157456880251
7,0.1746987951807229,1.5,0.0,-0.9187163575005053,28,4,0,1.9002736402559792,1.0538829918133077
10,0.36534939759036145,6.0,3.5,0.0,28,4,14,-0.07611217662183545,0.37502800312822476
0,-0.5622489959839357,-1.0,-0.5,-1.5080227656218417,25,7,13,0.7782090862397962,1.6334037969754527
0,-0.5391566265060241,-1.0,-0.5,-1.3606961635915076,25,3,1,-1.4229434826780722,0.020421223697072527
0,0.17569779116465864,0.0,0.0,-0.44117495781597416,25,5,11,0.5683248829265709,-0.2249366534082476
0,0.6726907630522089,-0.5,0.0,-0.8475931703134475,25,5,11,0.6455425769182913,-0.1773220598162447
0,0.10040160642570281,-1.0,-0.5,-1.2032091062487367,25,5,11,0.635538748273077,-0.16576890429682475
0,-0.4779116465863454,-0.5,-0.5,0.0,25,7,13,-0.10484723333801471,1.1618585438647466
2,1.179718875502008,0.5,1.0,0.82888195623863,25,5,11,0.49187373087897057,-0.19679234734446338
2,0.014056224899598393,0.0,0.0,-0.8211759865011117,28,4,9,-1.4108248195621491,-0.48914644669645035
0,-0.4979919678714859,-1.0,-0.5,-1.3860973018725997,25,7,13,0.017256510504085547,1.0376885883241873
10,0.07429718875502007,1.5,0.5,1.5228410540780657,28,4,0,1.8865511706321214,0.8454196226569203
7,-0.21084337349397592,0.0,0.0,0.0,28,4,9,-0.6066344872932817,0.3918585870574948
2,-0.025100401606425703,-0.5,0.0,-0.9420854047191101,25,5,11,0.8846192526017408,0.009704106236564983
2,-0.3965863453815261,-0.5,0.0,-0.9512298145003032,25,8,19,-1.1616792960506983,-2.073053694013362
4,-0.3273092369477912,0.0,0.0,-0.9105879932505558,28,4,16,-1.1126308778164673,-2.1377195064306336
0,-0.3870481927710843,0.0,0.0,-0.7967908937512633,25,7,13,-0.10767271606941656,1.0600973764855455
0,-0.5281124497991968,-1.0,-0.5,0.0,25,7,13,-0.02085043402840124,1.065287738209937
7,1.7620481927710843,2.5,0.18693042898421863,4.377928996872816,28,4,16,-1.2451582232731193,-1.5369949951849726
2,-0.6275100401606426,-1.0,-0.5,-1.596418726840042,28,4,0,1.4399115905286552,0.8646979677196893
0,-0.40160642570281124,0.0,-0.5,0.0,25,5,11,1.195009424207621,-0.11384747795865821
0,-0.7590361445783133,-1.0,-0.5,-1.355615935935289,25,0,20,1.3966031113756419,0.1745549811479376
2,1.1746987951807228,0.0,0.0,-0.6484482461896856,25,5,11,0.9995583387790278,-0.2541406006093646
0,-0.5973895582329317,-1.0,-0.5,-1.5893064081213364,25,5,11,1.010814642207836,-0.2515206848934173
0,-0.607429718875502,-1.0,-0.5,-1.6197877740586468,25,7,13,-0.013842050539730267,1.1730624432483787
0,-0.6295180722891566,0.0,-0.5,0.0,25,7,13,0.4781409950683226,1.189588293778614
0,0.6726907630522089,-1.0,0.0,0.0,25,5,11,0.2744644126773119,-0.4312035675458708
